trade_id,user_id,conf_date,leg_1_type,leg_1_amount,leg_1_conf_status,leg_2_type,leg_2_amount,leg_2_conf_status
627wvfBYT0KFK,743kfwnnnzy,2022-11-13,Compound,117.27,pending,GMX,Unknown,pending
952aVIUatKuFV,743kfwnnnzy,2022-09-24,LINK,34.54,confirmed,Illuvium,Unknown,confirmed
9270JH1YTQSOi,743kfwnnnzy,2022-08-23,Neo,55.77,confirmed,Kusama,Unknown,declined
860IlMOFEw870,743kfwnnnzy,2022-08-09,Compound,90.02,confirmed,Ethereum Classic,Unknown,declined
800cnyuACIvUm,743kfwnnnzy,2022-08-04,GMX,123.64,confirmed,Bitcoin SV,Unknown,confirmed
748X8Orf6KDQc,892naectxgo,2022-07-07,Kusama,145.86,confirmed,Litecoin,Unknown,declined
5545BTTIcHVHZ,892naectxgo,2022-10-25,Avalanche,174.56,confirmed,LINK,Unknown,pending
733kqloZ1Pvv2,892naectxgo,2022-10-12,Kusama,150.49,confirmed,Gnosis,Unknown,pending
9063GVfhqDjh7,892naectxgo,2022-09-25,Kusama,9.0,pending,Neo,Unknown,pending
941KoCYLya8OA,761kotzupqt,2022-08-18,Neo,94.61,confirmed,Avalanche,Unknown,confirmed
900gdsVo5WPp3,761kotzupqt,2022-09-10,Ethereum Classic,111.44,confirmed,Monero,Unknown,pending
836DxyLJR4wxm,761kotzupqt,2022-10-08,GMX,38.72,confirmed,LINK,Unknown,confirmed
440063q2WPshw,761kotzupqt,2022-08-05,IOTA,39.79,confirmed,Neo,Unknown,declined
528cbH8wcm0iz,761kotzupqt,2022-09-10,Kusama,209.8,confirmed,Compound,Unknown,confirmed
511XsXXpZn8RG,761kotzupqt,2022-09-05,Neo,133.29,confirmed,GMX,Unknown,confirmed
496kAz14xL83n,761kotzupqt,2022-08-19,Solana,199.58,confirmed,Bitcoin SV,Unknown,confirmed
792P2Xqw0RRES,761kotzupqt,2022-10-28,Bitcoin SV,96.99,confirmed,Neo,Unknown,confirmed
341q8vQ1EeclM,761kotzupqt,2022-07-06,Ethereum Classic,22.86,confirmed,Monero,Unknown,confirmed
820BO0lrfm6UL,761kotzupqt,2022-10-13,GateToken,26.47,confirmed,IOTA,Unknown,confirmed
715K4gZcfFSvL,761kotzupqt,2022-11-06,Gnosis,139.6,confirmed,GateToken,Unknown,confirmed
588D9saJpIy5n,761kotzupqt,2022-09-03,LINK,24.27,declined,Illuvium,Unknown,declined
835K6TlJClC1i,761kotzupqt,2022-09-20,LINK,177.26,confirmed,Illuvium,Unknown,confirmed
449gCbkBWkOZI,761kotzupqt,2022-11-20,Monero,23.48,pending,GateToken,Unknown,pending
4113cEdyOVFd4,761kotzupqt,2022-08-15,Bitcoin SV,55.96,confirmed,Ethereum Classic,Unknown,pending
940ozmHuKI2SG,761kotzupqt,2022-09-07,GMX,94.31,pending,Monero,Unknown,pending
9066Pz1qIylNA,761kotzupqt,2022-10-29,Monero,10.03,confirmed,Avalanche,Unknown,confirmed
3693IxrJ2ANjC,761kotzupqt,2022-07-03,Avalanche,191.22,declined,Gnosis,Unknown,declined
712OepnhUuBc6,761kotzupqt,2022-11-17,Kusama,207.7,pending,Monero,Unknown,pending
620rt0WPEhrH1,761kotzupqt,2022-07-10,Monero,81.61,confirmed,IOTA,Unknown,declined
927p5zGSrpQ1e,761kotzupqt,2022-10-24,Bitcoin SV,269.98,confirmed,LINK,Unknown,declined
592uBBcaqCvEq,761kotzupqt,2022-08-15,Litecoin,11.82,confirmed,IOTA,Unknown,confirmed
629zWk2QwMk9A,761kotzupqt,2022-10-04,Compound,177.0,confirmed,Ethereum Classic,Unknown,confirmed
665EyFFwy4UWS,761kotzupqt,2022-08-20,Compound,209.68,confirmed,LINK,Unknown,confirmed
418RhcFExxRiW,761kotzupqt,2022-11-05,Monero,130.91,confirmed,Kusama,Unknown,confirmed
704rpvQYRXcpG,761kotzupqt,2022-10-25,GMX,125.57,confirmed,Kusama,Unknown,confirmed
3812wssDQOqnn,761kotzupqt,2022-08-24,Avalanche,104.49,declined,Monero,Unknown,declined
453IZijBu47D1,462iuqofdoo,2022-08-03,GateToken,68.39,confirmed,Kusama,Unknown,confirmed
548CJEingaH8B,655gdijbwjm,2022-08-16,Avalanche,57.14,pending,Ethereum Classic,Unknown,pending
971n7OMjFN7YR,694tbicndof,2022-11-09,Bitcoin SV,60.03,pending,LINK,Unknown,pending
748yt0bG93aDO,694tbicndof,2022-07-22,Kusama,233.88,confirmed,Illuvium,Unknown,confirmed
6040gnnAkQexU,694tbicndof,2022-07-07,LINK,269.21,confirmed,Bitcoin SV,Unknown,declined
350KaRHlhO81G,694tbicndof,2022-09-01,Avalanche,77.63,confirmed,GateToken,Unknown,confirmed
519VcVGKeteo5,694tbicndof,2022-08-30,Neo,157.54,confirmed,Kusama,Unknown,confirmed
359c3DNv1AUXs,694tbicndof,2022-08-12,LINK,187.51,confirmed,Litecoin,Unknown,confirmed
375l7zefZej3a,694tbicndof,2022-09-26,Neo,13.41,declined,Illuvium,Unknown,declined
4209F8qptqQY7,694tbicndof,2022-08-23,Illuvium,137.8,confirmed,LINK,Unknown,confirmed
576UhZdhsJLGQ,694tbicndof,2022-10-29,Compound,133.04,confirmed,Gnosis,Unknown,confirmed
542z7SNAIj9H4,694tbicndof,2022-11-17,GateToken,55.95,pending,Avalanche,Unknown,pending
92359ZHa1xbQH,694tbicndof,2022-07-07,Gnosis,74.09,confirmed,Avalanche,Unknown,confirmed
552GhYB4EhDA4,694tbicndof,2022-07-22,Monero,92.18,confirmed,Compound,Unknown,confirmed
6692UzwhUdAXf,694tbicndof,2022-08-21,LINK,268.32,confirmed,Kusama,Unknown,declined
7772K6pRnVNT4,694tbicndof,2022-10-29,GateToken,96.27,confirmed,Gnosis,Unknown,declined
908CgVtypuj8E,694tbicndof,2022-09-02,Illuvium,109.84,confirmed,Ethereum Classic,Unknown,confirmed
855TGUuV5RM3T,694tbicndof,2022-09-17,Solana,172.52,confirmed,GateToken,Unknown,confirmed
487skVfn8gD0P,694tbicndof,2022-07-15,Gnosis,39.19,confirmed,Ethereum Classic,Unknown,confirmed
728eJGlhbZpRR,694tbicndof,2022-09-09,Monero,94.1,confirmed,Avalanche,Unknown,confirmed
741x9sWktBQUv,694tbicndof,2022-09-17,Litecoin,151.36,confirmed,Bitcoin SV,Unknown,confirmed
898x0r3LLi5Nl,694tbicndof,2022-08-10,Gnosis,102.7,confirmed,GMX,Unknown,declined
570CPJVskDkPJ,694tbicndof,2022-11-27,GateToken,143.34,confirmed,Solana,Unknown,confirmed
716xSCEJfso38,694tbicndof,2022-10-27,Ethereum Classic,26.12,confirmed,Kusama,Unknown,confirmed
889EWemlPY6S6,694tbicndof,2022-07-02,Illuvium,35.81,confirmed,GMX,Unknown,confirmed
927ay0ZsxjSrf,694tbicndof,2022-09-26,Monero,119.99,pending,Solana,Unknown,pending
6033oEeUSnp46,694tbicndof,2022-09-10,GMX,109.17,confirmed,Illuvium,Unknown,pending
7053d10rgDUEy,1299nrcreylc,2022-07-27,Gnosis,131.13,pending,Solana,Unknown,pending
376f7twklzx4J,1299nrcreylc,2022-08-21,Bitcoin SV,162.55,confirmed,Litecoin,Unknown,confirmed
683j3OILxuymi,1299nrcreylc,2022-11-02,Illuvium,102.48,confirmed,Avalanche,Unknown,confirmed
664E9wLbCfd1f,1299nrcreylc,2022-08-19,GMX,103.9,pending,Illuvium,Unknown,pending
588WowvidZSmM,1299nrcreylc,2022-10-09,Bitcoin SV,180.51,pending,Illuvium,Unknown,pending
9497nGdqcF9kR,1299nrcreylc,2022-11-12,Kusama,219.62,confirmed,Bitcoin SV,Unknown,pending
820aQeb9KS2Mh,1299nrcreylc,2022-11-04,Bitcoin SV,169.01,pending,IOTA,Unknown,pending
400DzJxisi3yh,1299nrcreylc,2022-07-21,Neo,169.55,confirmed,GateToken,Unknown,confirmed
815KJMjVyQml7,1299nrcreylc,2022-09-14,Ethereum Classic,144.14,confirmed,Gnosis,Unknown,declined
5478l4BxqIqIY,1299nrcreylc,2022-09-27,Kusama,181.41,pending,Compound,Unknown,pending
745bacPMhMqm4,1299nrcreylc,2022-11-07,Monero,67.48,confirmed,Ethereum Classic,Unknown,confirmed
581Zg6jQ8FRWG,1299nrcreylc,2022-07-12,Monero,55.57,pending,Illuvium,Unknown,pending
9965QqiwrkU8x,701vlomszat,2022-10-15,IOTA,91.8,confirmed,Avalanche,Unknown,confirmed
507okuT4d6gQR,701vlomszat,2022-08-11,Illuvium,93.17,pending,Kusama,Unknown,pending
366f5vYqsd8Vv,701vlomszat,2022-09-23,Monero,96.95,confirmed,Neo,Unknown,confirmed
687rLOtZEe677,701vlomszat,2022-09-26,Illuvium,43.13,confirmed,Litecoin,Unknown,confirmed
899b2OmXaq5gV,701vlomszat,2022-07-17,GateToken,114.6,confirmed,Compound,Unknown,confirmed
6645JDTUQOLaM,701vlomszat,2022-10-15,Monero,33.08,confirmed,Neo,Unknown,confirmed
6441gTAG1K89q,701vlomszat,2022-09-14,Illuvium,126.0,confirmed,Bitcoin SV,Unknown,confirmed
988frD0SwbzOd,701vlomszat,2022-07-08,LINK,145.36,confirmed,Compound,Unknown,declined
574woCygzfHx8,701vlomszat,2022-07-20,Kusama,29.82,confirmed,Neo,Unknown,confirmed
598xpIlRw7LpB,701vlomszat,2022-11-13,Neo,148.24,confirmed,Compound,Unknown,pending
959oQlmoRPIxH,701vlomszat,2022-11-15,Bitcoin SV,19.36,declined,Neo,Unknown,declined
6587m4rgbg3iK,701vlomszat,2022-11-08,IOTA,87.89,confirmed,Compound,Unknown,confirmed
522tNTbdHzjXD,701vlomszat,2022-10-28,LINK,124.92,confirmed,GMX,Unknown,pending
393jzXRnC3pE2,701vlomszat,2022-07-21,Monero,139.99,confirmed,GMX,Unknown,confirmed
7943n2UZNhIsF,701vlomszat,2022-07-31,LINK,91.83,confirmed,Solana,Unknown,pending
564xKqSwRgvSs,701vlomszat,2022-10-21,Bitcoin SV,31.49,confirmed,Illuvium,Unknown,pending
796QOrmmRi75q,701vlomszat,2022-11-07,Compound,157.02,confirmed,Solana,Unknown,confirmed
709EgYmfjv71G,701vlomszat,2022-07-30,Illuvium,101.45,pending,GateToken,Unknown,pending
834UjfQ1IipPG,701vlomszat,2022-09-25,GMX,142.7,confirmed,Compound,Unknown,confirmed
614bBHZvnpQR4,1076qsugpzvu,2022-11-17,Litecoin,38.83,confirmed,IOTA,Unknown,confirmed
476DUdlOHkc31,841ukfpmnyy,2022-08-01,GateToken,22.19,confirmed,Avalanche,Unknown,confirmed
900ssOGCXEpCF,841ukfpmnyy,2022-09-08,GateToken,95.8,confirmed,GMX,Unknown,confirmed
6193Xfmjmqmjd,841ukfpmnyy,2022-09-10,Neo,167.32,declined,Avalanche,Unknown,declined
612IYavN23Ucw,841ukfpmnyy,2022-07-16,Compound,59.75,confirmed,Illuvium,Unknown,confirmed
924jyOR4gtNMO,841ukfpmnyy,2022-11-04,Gnosis,114.47,confirmed,Kusama,Unknown,confirmed
944Ge8YyvhSKJ,841ukfpmnyy,2022-09-08,Illuvium,129.49,pending,IOTA,Unknown,pending
785i75wVoUtwf,841ukfpmnyy,2022-10-28,Bitcoin SV,236.32,confirmed,GMX,Unknown,confirmed
7809KZYI5tAqV,841ukfpmnyy,2022-09-24,Solana,254.37,confirmed,Litecoin,Unknown,confirmed
9308qIf805ju2,841ukfpmnyy,2022-08-16,IOTA,81.55,declined,Bitcoin SV,Unknown,declined
4246UMGuxxZpu,841ukfpmnyy,2022-09-11,Solana,24.3,declined,Litecoin,Unknown,declined
6963KMt0sgqKU,841ukfpmnyy,2022-08-14,Litecoin,107.29,declined,IOTA,Unknown,declined
490u8LlE1lzg3,841ukfpmnyy,2022-08-24,Solana,51.67,confirmed,Litecoin,Unknown,confirmed
918gjrZtiGDru,709lcgplfob,2022-08-06,Bitcoin SV,246.77,confirmed,LINK,Unknown,confirmed
961yTxjjAyQ11,709lcgplfob,2022-09-11,Solana,156.95,pending,Ethereum Classic,Unknown,pending
890H0ak7WvMXY,709lcgplfob,2022-11-26,IOTA,164.35,confirmed,Litecoin,Unknown,confirmed
567EDGCHEVbDc,709lcgplfob,2022-08-21,Compound,272.36,declined,Kusama,Unknown,declined
691hdqQCpYJTy,709lcgplfob,2022-07-26,Gnosis,127.75,confirmed,Neo,Unknown,confirmed
894Zk0MbZTMb2,709lcgplfob,2022-11-04,Bitcoin SV,138.84,confirmed,Ethereum Classic,Unknown,confirmed
984Z8DA5c4hxX,709lcgplfob,2022-09-27,Gnosis,16.61,confirmed,Kusama,Unknown,confirmed
8067lt0TTHjpC,709lcgplfob,2022-09-16,Monero,131.2,confirmed,Ethereum Classic,Unknown,confirmed
446mNDUFt5NHt,709lcgplfob,2022-08-05,Kusama,221.54,declined,Illuvium,Unknown,declined
863tN9iHAkIIv,709lcgplfob,2022-09-03,Neo,71.83,confirmed,Gnosis,Unknown,confirmed
964UBn45XlLXh,709lcgplfob,2022-07-03,Avalanche,129.74,confirmed,GateToken,Unknown,pending
467rTvjnQ8VKd,709lcgplfob,2022-11-20,Gnosis,142.73,confirmed,Bitcoin SV,Unknown,declined
740nVpPymR1V1,709lcgplfob,2022-10-11,GateToken,72.11,confirmed,Gnosis,Unknown,confirmed
821kxodIc7ZkZ,709lcgplfob,2022-11-16,Litecoin,80.36,confirmed,GMX,Unknown,pending
727thj3fjjN72,709lcgplfob,2022-11-06,Kusama,253.87,pending,LINK,Unknown,pending
505CAusf8JjQs,709lcgplfob,2022-09-28,Neo,177.33,confirmed,Monero,Unknown,confirmed
578SnEwj9xQKk,709lcgplfob,2022-08-09,Bitcoin SV,76.61,confirmed,Ethereum Classic,Unknown,confirmed
412r8O6XEYhbo,709lcgplfob,2022-11-21,Solana,101.3,confirmed,Avalanche,Unknown,confirmed
457tfnM5bPMiM,709lcgplfob,2022-11-07,LINK,112.04,confirmed,Neo,Unknown,confirmed
485WElzkqTQ6u,709lcgplfob,2022-10-23,Kusama,112.08,confirmed,Illuvium,Unknown,declined
738QfV8BOmVQa,709lcgplfob,2022-09-10,LINK,159.17,confirmed,GMX,Unknown,confirmed
835n1VommObxs,709lcgplfob,2022-07-12,LINK,124.96,confirmed,Gnosis,Unknown,confirmed
81224NJ6x2Ouf,709lcgplfob,2022-11-03,Gnosis,15.84,confirmed,Kusama,Unknown,pending
631xuqxf6jQUO,709lcgplfob,2022-11-02,Compound,131.4,declined,GateToken,Unknown,declined
890lEA1jFnzVn,709lcgplfob,2022-11-20,LINK,179.17,pending,Kusama,Unknown,pending
773WnuwuE5mkS,709lcgplfob,2022-09-14,LINK,87.04,confirmed,Solana,Unknown,declined
919zqGLoHBTqy,709lcgplfob,2022-07-08,GateToken,169.68,declined,LINK,Unknown,declined
651hqacVsNX0S,709lcgplfob,2022-07-11,IOTA,43.1,confirmed,GateToken,Unknown,confirmed
590Ey9TzoApq6,709lcgplfob,2022-08-08,Gnosis,62.41,confirmed,Neo,Unknown,confirmed
397FGtEZRgoP1,709lcgplfob,2022-11-26,Compound,201.12,confirmed,Illuvium,Unknown,confirmed
515M8mylPNX7W,445qxzqmmsh,2022-11-19,Bitcoin SV,40.8,pending,IOTA,Unknown,pending
537q4gThI76e2,1421qblpeecd,2022-09-18,Avalanche,82.91,confirmed,Monero,Unknown,confirmed
469i1gXqW3Rpe,893gidhbfyk,2022-08-20,IOTA,100.78,confirmed,GMX,Unknown,pending
6282kvfNVPcnD,1043jqwubxwa,2022-09-07,Neo,166.55,pending,Litecoin,Unknown,pending
595WyzquaJvif,555rtaqnttj,2022-09-20,Monero,15.24,declined,GMX,Unknown,declined
625mezapEcWld,555rtaqnttj,2022-07-02,IOTA,27.74,confirmed,Illuvium,Unknown,confirmed
575ONcgt96zBV,555rtaqnttj,2022-09-04,Gnosis,23.94,confirmed,Illuvium,Unknown,confirmed
543zORAnt9whp,555rtaqnttj,2022-08-06,GMX,97.72,confirmed,Neo,Unknown,confirmed
924CICUDRAqIx,555rtaqnttj,2022-10-02,GateToken,116.99,confirmed,GMX,Unknown,confirmed
623awZh7qa4ud,555rtaqnttj,2022-11-06,GMX,72.44,confirmed,GateToken,Unknown,confirmed
626DopafW4hP4,555rtaqnttj,2022-10-03,Gnosis,19.07,declined,Solana,Unknown,declined
754DSW0pIGe3r,555rtaqnttj,2022-08-19,GateToken,119.8,confirmed,Avalanche,Unknown,confirmed
704b4wteKQPE9,555rtaqnttj,2022-07-23,Solana,64.48,confirmed,Ethereum Classic,Unknown,declined
998ueKburLK9D,555rtaqnttj,2022-09-02,IOTA,47.56,confirmed,LINK,Unknown,confirmed
814mcKxHdQ0DA,555rtaqnttj,2022-08-05,GMX,83.87,pending,GateToken,Unknown,pending
832RphyEOUKld,555rtaqnttj,2022-09-09,Gnosis,117.78,confirmed,GMX,Unknown,confirmed
3413iqc64ntBJ,555rtaqnttj,2022-09-03,Gnosis,142.28,pending,Solana,Unknown,pending
970TNzpqicm8m,555rtaqnttj,2022-11-27,Gnosis,119.98,confirmed,GMX,Unknown,declined
631OsCVd62DXp,603xxnzilig,2022-10-24,Gnosis,61.66,pending,GMX,Unknown,pending
634tgYTx0XmCA,603xxnzilig,2022-10-03,IOTA,16.72,confirmed,LINK,Unknown,pending
8395BtGSTCGtd,603xxnzilig,2022-11-16,GMX,105.28,confirmed,Monero,Unknown,declined
376fOHQ4uqwOS,603xxnzilig,2022-08-18,Gnosis,79.35,confirmed,Compound,Unknown,declined
744fHMqnbLm5F,603xxnzilig,2022-07-16,LINK,54.62,confirmed,IOTA,Unknown,confirmed
557ssYtCGqlCA,603xxnzilig,2022-11-12,Litecoin,22.56,confirmed,Monero,Unknown,confirmed
363wYnxOWpJ1W,603xxnzilig,2022-09-04,GMX,134.21,confirmed,Avalanche,Unknown,confirmed
386aj8HsNxPq0,603xxnzilig,2022-10-01,Neo,90.13,confirmed,Illuvium,Unknown,confirmed
686KvKuYiNjmh,603xxnzilig,2022-11-14,Litecoin,114.74,confirmed,Bitcoin SV,Unknown,confirmed
568dtHPod6nGJ,950yjflmzno,2022-10-25,Neo,188.42,confirmed,Illuvium,Unknown,confirmed
841QMeSsG3Eom,950yjflmzno,2022-08-12,GateToken,162.56,confirmed,Illuvium,Unknown,confirmed
8648940x5HRUT,950yjflmzno,2022-11-27,Litecoin,134.62,confirmed,Bitcoin SV,Unknown,confirmed
986qeQex435FK,950yjflmzno,2022-08-30,Litecoin,56.58,confirmed,Ethereum Classic,Unknown,confirmed
940K3nhqJAWv6,950yjflmzno,2022-09-17,GMX,28.57,confirmed,Ethereum Classic,Unknown,confirmed
576RFmY1l5Kim,950yjflmzno,2022-09-13,Kusama,185.9,confirmed,Neo,Unknown,confirmed
527cbaQ2qjKEY,950yjflmzno,2022-10-06,Ethereum Classic,72.43,confirmed,Litecoin,Unknown,pending
9170O1TUbl96q,950yjflmzno,2022-11-14,Bitcoin SV,29.06,confirmed,IOTA,Unknown,confirmed
3422JyLHY6BUl,950yjflmzno,2022-10-08,IOTA,34.07,confirmed,Neo,Unknown,declined
436jmlH2T2VvM,950yjflmzno,2022-08-17,IOTA,49.75,confirmed,Neo,Unknown,confirmed
997fY1ktL5cE8,950yjflmzno,2022-08-03,Kusama,262.42,confirmed,Monero,Unknown,confirmed
464JYyMUp9z0b,950yjflmzno,2022-07-23,Solana,258.13,confirmed,Illuvium,Unknown,confirmed
7675CgeBhoXWh,950yjflmzno,2022-09-09,Kusama,110.73,confirmed,IOTA,Unknown,confirmed
425Ryf7jxTVI5,950yjflmzno,2022-10-27,Monero,65.8,pending,Bitcoin SV,Unknown,pending
786sivZq3ud9Z,654rklmrdmk,2022-11-14,LINK,20.31,declined,GMX,Unknown,declined
649ZGOY9he0b9,1294igocnurl,2022-10-03,LINK,135.69,confirmed,Litecoin,Unknown,confirmed
973pQuHfIxzT5,474cfntozet,2022-10-13,Neo,112.25,declined,LINK,Unknown,declined
583uiHlma0cxx,474cfntozet,2022-09-14,LINK,86.39,confirmed,Avalanche,Unknown,confirmed
552lFvRuWxNwB,474cfntozet,2022-11-10,LINK,271.68,confirmed,Ethereum Classic,Unknown,confirmed
398kPN6DUB2KQ,474cfntozet,2022-10-27,Litecoin,106.9,declined,IOTA,Unknown,declined
536YtaFd6WRFL,474cfntozet,2022-09-30,Litecoin,131.04,confirmed,IOTA,Unknown,confirmed
8237iWbgT4r0o,474cfntozet,2022-09-22,Illuvium,148.14,confirmed,GateToken,Unknown,confirmed
494wj2ybOD14P,474cfntozet,2022-09-01,IOTA,44.09,confirmed,Avalanche,Unknown,confirmed
729ohVGz5X3ns,474cfntozet,2022-09-02,GMX,136.84,confirmed,IOTA,Unknown,confirmed
826FlHUSp4QcY,474cfntozet,2022-10-20,Kusama,244.75,pending,Monero,Unknown,pending
377D0x2Mx802U,474cfntozet,2022-07-31,GMX,70.12,confirmed,Monero,Unknown,confirmed
3529bjaFK0h2i,474cfntozet,2022-08-19,GMX,111.84,confirmed,IOTA,Unknown,pending
9003UrkcHg89q,474cfntozet,2022-10-14,GateToken,65.71,confirmed,Monero,Unknown,confirmed
789UdaSgrybwI,474cfntozet,2022-07-12,Compound,129.69,confirmed,Kusama,Unknown,confirmed
491cRJwX2G7sv,1351wnltybvv,2022-09-09,LINK,78.39,declined,Monero,Unknown,declined
789X5fX7hb8Gy,950ncqnphtc,2022-10-04,Ethereum Classic,154.43,confirmed,Illuvium,Unknown,confirmed
592VSzIrmUHcK,824xvminzoe,2022-09-14,Bitcoin SV,158.2,confirmed,Kusama,Unknown,confirmed
921cbIz3RDK5G,824xvminzoe,2022-10-03,Litecoin,46.91,confirmed,Avalanche,Unknown,confirmed
457EwtL7ULx3h,824xvminzoe,2022-10-26,LINK,70.27,confirmed,GateToken,Unknown,pending
774RMaTmiOASu,824xvminzoe,2022-07-17,Ethereum Classic,32.28,confirmed,Monero,Unknown,confirmed
383xxlqeV7zip,824xvminzoe,2022-10-04,Ethereum Classic,58.14,pending,Solana,Unknown,pending
616MP4JZwXG32,824xvminzoe,2022-09-27,Gnosis,88.61,confirmed,Ethereum Classic,Unknown,confirmed
904KIwRF3KUOj,824xvminzoe,2022-09-03,Kusama,97.92,confirmed,IOTA,Unknown,declined
529pbOyqWXslp,824xvminzoe,2022-09-23,Ethereum Classic,82.72,confirmed,Illuvium,Unknown,confirmed
606ufESA3V1Ai,824xvminzoe,2022-11-28,Litecoin,150.02,confirmed,Illuvium,Unknown,pending
713dd4rqKnWtg,824xvminzoe,2022-10-21,GateToken,84.68,pending,Ethereum Classic,Unknown,pending
385tyBaQAldTX,824xvminzoe,2022-08-19,LINK,32.37,confirmed,Illuvium,Unknown,confirmed
9443bEPXQIagJ,824xvminzoe,2022-11-14,Solana,234.39,declined,Compound,Unknown,declined
825NBfX31XeAu,824xvminzoe,2022-09-21,Monero,115.31,confirmed,Litecoin,Unknown,confirmed
998ZUyAIn1Bkj,824xvminzoe,2022-11-20,IOTA,136.77,declined,GMX,Unknown,declined
413iXcy0eHASt,824xvminzoe,2022-08-26,Monero,8.17,confirmed,Gnosis,Unknown,confirmed
8919RbVOSnTyi,824xvminzoe,2022-07-16,Avalanche,29.98,confirmed,IOTA,Unknown,confirmed
342ndhY7N3vHp,824xvminzoe,2022-08-31,Gnosis,149.77,pending,Bitcoin SV,Unknown,pending
438wy31rApFwE,824xvminzoe,2022-11-03,Avalanche,142.32,pending,Kusama,Unknown,pending
556mzRXDu3Xea,824xvminzoe,2022-08-07,IOTA,70.95,confirmed,Gnosis,Unknown,confirmed
386tp2pcPJ9zw,824xvminzoe,2022-10-06,GMX,7.44,confirmed,Illuvium,Unknown,pending
403rRNKh2mMk3,985aedcabej,2022-07-15,GMX,132.23,confirmed,Gnosis,Unknown,confirmed
822sjDbz9GGUN,736ewtrxwux,2022-10-23,Bitcoin SV,64.57,pending,Gnosis,Unknown,pending
995cWuvdad4EJ,512yraiyzvh,2022-11-13,Gnosis,142.63,confirmed,GateToken,Unknown,confirmed
764IDz1dgahaY,639ptdecdyc,2022-09-29,Avalanche,105.63,declined,LINK,Unknown,declined
402dcjfKzyNBr,666jseqvllh,2022-10-04,Kusama,35.61,confirmed,Monero,Unknown,pending
391byyjPST19D,666jseqvllh,2022-11-27,LINK,154.95,confirmed,Compound,Unknown,confirmed
858MTIWySgWt9,666jseqvllh,2022-07-22,Neo,59.07,confirmed,Litecoin,Unknown,confirmed
580crlPGZEGkQ,666jseqvllh,2022-10-26,Gnosis,149.21,confirmed,Bitcoin SV,Unknown,confirmed
